Date,opening_price,highest_price,lowest_price,closing_price,transactions_in_blockchain,avg_block_size,sent_by_adress,avg_mining_difficulty,avg_hashrate,mining_profitability,sent_coins_in_usd,avg_transaction_fees,median_transaction_fees,avg_block_time,avg_transaction_value,median_transaction_value,tweets,google_trends,active_addresses,top100_to_total_percentage,avg_fee_to_reward,number_of_coins_in_circulation,miner_revenue,next_day_closing_price
2013-05-10,113.16,113.95,109.0,111.96,67709,190560,56144,10076293,83613260357587,5770,77351721,0.105,0.0553,8.372,1487,59.973,8193,7.843,84341,20.063,1.476,11142225.0,512145.2,117.9
2013-05-11,111.96,119.98,109.2,117.9,73220,190552,54054,10076293,87548794241384,5926,64413654,0.0948,0.0563,7.912,1054,46.253,8193,7.283,80919,20.028,1.341,11142850.0,558237.023049608,115.04
2013-05-12,117.9,118.5,112.95,115.04,65260,182095,46321,10301131,91482612244649,5199,51301271,0.0969,0.112,8.571,958.657,52.908,8193,7.283,69607,20.009,1.332,11151175.0,535813.5888,114.5
2013-05-13,115.58,117.86,113.0,114.5,60824,168713,52214,11187257,95544673466887,5179,74564292,0.108,0.0561,8.276,2074,66.581,8193,8.403,82796,20.001,1.331,11154850.0,443751.0,115.99
2013-05-14,115.05,117.48,113.55,115.99,66316,201835,55907,11187257,90886609199962,4670,72700627,0.094,0.0543,9.351,1303,56.878,8193,8.403,83723,20.022,1.472,11154125.0,490866.124125639,107.0
2013-05-15,115.98,117.9,103.5,107.0,64030,217910,56094,11187257,81734166656643,4587,65554034,0.0988,0.0523,10.213,1228,61.822,8193,9.524,84759,20.046,1.691,11162150.0,423762.26368,108.95
2013-05-16,107.0,113.0,101.72,108.95,61010,201059,55166,11187257,81124937273190,4982,64475996,0.136,0.0535,9.73,1259,67.321,8193,8.403,84162,20.142,2.053,11166175.0,512027.37,113.35
2013-05-17,108.96,113.35,108.35,113.35,58570,173925,50663,11187257,86183643050509,5231,75258648,0.105,0.0552,8.944,1620,68.267,8193,7.843,78453,20.111,1.361,11165250.0,490901.81071408,116.73
2013-05-18,113.36,118.16,112.82,116.73,52066,167466,44609,11187257,81582905961037,5206,66876301,0.0857,0.0564,9.664,1618,80.035,8193,7.843,68371,20.113,1.054,11173700.0,471151.04176,118.49
2013-05-19,117.51,118.55,115.99,118.49,47664,141489,41739,11187257,90314218425354,4934,43512417,0.112,0.0565,9.231,1003,57.043,8193,9.524,64226,20.098,1.198,11177150.0,429152.38499,116.38
2013-05-20,118.49,118.98,114.1,116.38,48692,180891,46665,11187257,78831535490995,4693,55737414,0.101,0.0566,11.163,1263,75.782,8193,8.403,71676,20.11,1.333,11176375.0,398718.883928346,116.55
2013-05-21,117.27,118.94,114.03,116.55,53791,173930,54799,11187257,78234657754155,5631,69388155,0.0997,0.0576,9.536,1439,88.835,8193,7.283,82573,20.084,1.22,11185025.0,515701.2,117.5
2013-05-22,117.81,118.56,116.9,117.5,51834,158817,49734,11187257,88443185314328,5211,76830429,0.112,0.0583,9.231,1669,92.055,8193,6.723,74802,20.132,1.267,11189050.0,512482.26,119.11
2013-05-23,117.25,119.48,117.0,119.11,59615,162192,57375,11187257,90431457737529,5784,74254762,0.112,0.0593,8.276,1406,90.044,8193,6.163,83266,20.112,1.285,11187500.0,548198.01918393,123.84
2013-05-24,118.45,123.9,118.36,123.84,55232,158925,55062,11187257,95283232048976,5588,86918977,0.109,0.0623,8.521,1707,99.751,8193,6.163,84962,20.143,1.134,11197400.0,577864.95,128.7
2013-05-25,123.84,129.94,122.52,128.7,51115,148936,43271,11450754,95027092812990,5608,81711332,0.118,0.0639,8.727,1822,75.408,8193,6.163,69624,19.901,1.137,11201425.0,543560.62555,128.97
2013-05-26,128.65,129.73,126.03,128.97,40559,133314,40521,12153412,99559840402907,5311,45607015,0.1,0.0644,8.834,1216,84.322,8193,5.602,69657,19.908,0.771,11198625.0,548644.813471673,129.5
2013-05-27,128.98,130.29,127.97,129.5,52582,148505,45900,12153412,1.0477652245193E+14,5450,75633075,0.119,0.0642,8.182,1611,73.299,8193,5.602,73994,19.976,1.103,11209775.0,526629.384,126.25
2013-05-28,130.27,130.6,120.33,126.25,56912,169509,50624,12153412,96339507342859,5226,79555669,0.121,0.0629,9.114,1559,90.398,8193,7.283,76227,19.977,1.372,11209825.0,552544.72494,125.92
2013-05-29,126.2,127.11,123.0,125.92,54892,159992,54008,12153412,1.0063432194971E+14,5342,84914132,0.12,0.0632,8.571,1857,99.887,8193,8.403,80558,19.927,1.23,11218200.0,568010.48119275,130.35
2013-05-30,125.99,130.4,125.53,130.35,57247,156239,51861,12153412,1.0336695008742E+14,5567,73009718,0.106,0.0636,8.045,1385,91.552,8193,7.283,78228,19.946,1.053,11222850.0,598246.70256,126.81
2013-05-31,130.01,131.0,124.9,126.81,54171,147277,51248,12153412,1.1019729076722E+14,5071,75431480,0.105,0.0632,8.229,1568,104.966,8193,6.723,75479,19.878,1.023,11220925.0,644576.05605,127.91
2013-06-01,126.78,129.87,125.06,127.91,54098,124785,45028,12153412,1.1612360553845E+14,5865,55241753,0.0968,0.0647,6.761,1135,72.57,8193,6.163,67806,19.881,0.772,11232900.0,750633.183040245,128.77
2013-06-02,127.76,128.86,127.09,128.77,49748,121260,41308,12153412,1.2724109532339E+14,4901,47080357,0.122,0.0621,7.236,1065,78.22,8193,6.723,65828,19.884,0.976,11232250.0,632880.10548,123.0
